"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"M_Dis_unmap",-0.0524713063459323,-0.0524713063459323,0.0180338459093306,0.00498240846137833,-0.00072733678831264,0.00474143797640312,-0.00191091465651047,0.130935269851765,-0.000272609880317964,0.00963820731859069,0.00461707743847401,0.00474143797640317
"M_Dis_map_ratio",-0.018213589573852,0.00776312409838367,-0.0044882393065838,0.00861558523218867,0.036752122814108,0.00776312409838347,0.0121555977832206,0.0377480703974129,0.00821957830877233,-0.00609657896060391,-0.0106789844063733,-0.0106789844063734
"M_Soft_sd",0.00587468514707767,0.0207343777830781,0.0032101916654024,-0.018123521776256,0.0166482584881403,0.00210550667665554,0.00967634014608447,0.0236414427235801,0.023641442723583,-0.00304632116460993,0.00210550667667097,0.00482406738130393
"M_Diff_90_percentile",0.0256446512196851,0.0208539775412998,-0.00316028544266744,0.0203700100528981,0.0120897210061895,-0.0215963294314741,0.0172133117087721,0.0643494660277484,0.0208539775412658,-0.00799167473816152,-0.00799167473816156,-0.0111442705821426
"M_Cov_Cat",-0.0216474411366744,-0.0224844496244149,6.10515923358976e-05,0.00147206529475115,0.000336640497653271,0.00147206529474737,-0.0155946535091299,-0.0216474411367086,-0.0218378128044552,0.0096624356275015,0.019679347309332,-0.00323142572775384
"M_Hetvar",-0.0478686388210586,0.00174523358828934,0.022737873050091,0.00663689359959028,0.00423851262160509,0.000369218886662434,0.00663689359959043,0.0388423790146335,0.00666829116482729,0.00974966475937009,-0.0190231869980979,0.00663689359959038
"M_Hetvar_SV",0.0422716615589548,0.00543235724427452,0.0184632314805783,-0.00606254007593175,-0.00923056219980335,-0.0151045686559383,0.00543235724427274,0.00543235724436444,0.0328635408670378,0.00203174608498857,-0.0105699696938407,-0.0185060533375474
"M_Sine_Line_Ltr_SV",0.0362035790382264,0.0362035790382252,-0.0272906272484973,0.00595106013165603,-0.00430074928921079,0.0059510601316549,-0.00536143689468414,-0.0514826006319143,0.0156020649140571,-0.00537756524543539,-0.0479741992079479,0.0106358837642119
"RM_Soft_90_percentile",0.0223406811629072,0.00369167374371327,-0.00439846671197474,-0.0182035566863807,0.00369167374354998,-0.00896141873979686,0.00498322980283865,0.0834267852080596,0.040090307635538,-0.0165157695488865,-0.00896141873979676,0.0146638511414049
"RM_Ins",0.00796999339869347,0.0446628985219667,0.00911004218188692,0.00809799060681829,0.00809799060681826,-0.0174690005446822,0.00987174240603908,0.00451865510739664,0.0374215805432576,-0.0021286557912613,0.00451865510739592,-0.0109628108280166
"R_Soft_90_percentile",0.0288365346686533,0.00278234290430454,-0.00256672676894068,-0.0184416319623478,0.0108959463037309,0.0199964238009163,0.00278234290431837,0.0330115945776239,0.0291202251543109,-0.00714962626205236,-0.00714962626205243,0.00164990203792812
"L_Dis_unmap",-0.0317608561853838,0.00612587415919402,0.00699211239396013,-0.0124909451085456,0.00612587415919395,-0.00641892058789091,0.00699211239394046,0.00699211239394073,0.0231125404945488,-0.00552250546377595,0.0233633427413643,-0.00323387205789924
